#midpoint_x midpoint_y name diameter emplacement_depth transgressive_height
684079.384 6648122.655 Sill805 9081.46843173 0.764587411492 0.28329316054
458084.463 6276992.395 Sill100 12821.9868926 4.52578398958 1.02788620523
280406.394 6399607.525 Sill1000 3271.80959061 1.53801108378 0.985146578466
280303.222 6403584.335 Sill1001 2435.73612297 0.979028298788 0.114623718592
279979.8395 6417983.255 Sill1002 5011.80251099 3.20210153317 0.696489936181
279069.6165 6447623.98 Sill1005 2825.46741755 0.767939685062 0.177510597699
278896.584 6454303.575 Sill1006 1862.37626784 1.39949726622 0.267302302815
278788.7485 6457507.515 Sill1007 2124.7140707 0.643474837232 0.307056345112
279674.74 6429220.675 Sill1009 1850.01800755 1.59972675887 0.798000591862
449617.9115 6291516.255 Sill101 9726.52926229 5.29642188095 0.292476171304
282850.689 6336475.8 Sill1010 850.090658026 1.7150670497 0.238865771472
283274.4785 6324577.39 Sill1011 6310.58491308 2.86858101746 0.704826002795
295398.4415 6410295.72 Sill1012 6036.3631524 3.68176891109 0.63849123767
302233.282 6405004.455 Sill1014 4025.62007377 4.25521632292 0.388370594633
303406.3045 6404096.605 Sill1015 5537.67675213 1.45202445811 0.595391166627
290449.826 6441732.55 Sill1016 3859.8915886 2.50432716184 0.403924875933
275007.4145 6453860.115 Sill1018 4012.34281065 4.67377369564 0.361995253258
354666.448 6280084.645 Sill1019 3835.70598907 3.28507617249 0.312201516085
459705.7855 6296742.825 Sill102 6189.18745355 6.20404906587 0.771785432866
339851.7915 6292120.245 Sill1020 8312.05921951 4.44825997266 0.709005537086
280340.744 6337283.885 Sill1021 2651.28796815 3.14686341 0.520452260811
281390.771 6336480.39 Sill1022 2164.43996906 2.02328343754 0.114220342403
290252.3265 6329589.445 Sill1023 13648.7566529 5.03477792164 0.854329694902
329611.337 6299274.89 Sill1024 6752.69294983 1.14999796365 0.221136960429
332579.8685 6297110.71 Sill1025 6134.57078577 3.21167535188 0.730484913032
343785.276 6288570.635 Sill1026 2363.24065499 5.77576167803 0.147131778769
357444.863 6278087.18 Sill1027 13636.6916643 4.51394648491 0.417228377411
434468.7025 6219266.08 Sill1028 8050.14850061 1.94120482661 0.760781373789
428699.165 6223663.035 Sill1029 3346.17720006 3.34959272772 0.262426047519
455977.6915 6299659.725 Sill103 9989.788165 4.7259165732 1.36513255605
435657.2015 6218376.52 Sill1030 6198.93168351 4.77013323535 0.429508984675
408241.4815 6239491.495 Sill1031 2945.78272313 0.330824768561 0.0554352428028
333690.645 6296312.275 Sill1032 2805.05670842 1.98950252855 0.444609858141
322495.0675 6304702.52 Sill1033 6279.81791694 5.40861424476 0.852126505297
289976.322 6313672.1 Sill1034 2025.29581589 0.692432380595 0.184891688658
300652.8855 6311530.93 Sill1035 8125.59338937 6.10287220335 0.335753973158
320829.2475 6307807.49 Sill1036 5785.5052144 4.73250568468 1.40846326353
321380.3105 6307719.28 Sill1037 7276.75502617 5.08239142734 1.14499997921
308075.8345 6310089.295 Sill1038 4549.07107581 4.54546056314 0.486549654369
305777.7655 6310513.775 Sill1039 1924.37275308 3.14238670059 0.122539075107
306677.478 6310360.945 Sill1040 8622.73028381 5.24543041038 1.30876489977
307234.49 6310247.47 Sill1041 3236.7429559 4.39780381055 0.219693608464
311117.217 6309525.695 Sill1042 2237.17473226 5.58385061214 0.728324766914
312371.4385 6309296.65 Sill1043 3187.42333347 4.94931818976 0.228654997765
315361.4755 6308758.615 Sill1044 4488.93710504 3.4072029154 0.322425449022
272693.553 6317028.64 Sill1045 5088.54971739 4.49833237728 0.869478962015
285254.4005 6314566.395 Sill1046 10836.8198081 5.81953960431 1.42556844482
294073.3435 6312864.155 Sill1047 1625.30430611 3.84681949888 0.241381113719
296400.7395 6312388.605 Sill1048 3900.78750423 2.65915429606 0.452239195664
299696.096 6311715.77 Sill1049 3426.05028937 2.98862395002 0.875135841341
437659.25 6290328.1 Sill105 4507.59583925 1.43694604382 0.234080545743
349993.14 6302259.885 Sill1050 4904.94183661 2.16668748522 0.254922854304
345687.15 6303121.64 Sill1051 14963.1731698 5.39572233185 0.386624284952
365180.9045 6299032.14 Sill1052 4921.6901386 1.7211929901 0.197278880117
365506.9205 6298996.91 Sill1053 21052.9745899 1.77173982991 0.909060585567
338619.6275 6304499.46 Sill1054 5657.05340155 4.33272922087 0.779790474923
340381.0805 6304137.565 Sill1055 3484.21542834 2.53417218839 0.76082977906
336348.295 6304957.855 Sill1056 5795.6104532 6.19701356582 0.43396479832
341458.709 6303920.49 Sill1057 5158.23428558 7.92242897687 1.09381452468
346637.5485 6302893.86 Sill1058 4326.34457308 4.90839863559 1.65222461986
357706.498 6300707.725 Sill1059 5531.12707682 2.75533431338 0.320056014685
441121.8665 6294319.925 Sill106 7755.09513318 2.88895584051 0.592882752479
402745.8895 6290995.935 Sill1061 5158.02461697 3.37355670782 0.961436909685
417496.1755 6286376.285 Sill1062 14661.626764 4.88923976477 0.965714728833
394824.444 6292895.76 Sill1063 9419.16638836 1.45113816455 0.146941787092
394895.2825 6292899.085 Sill1064 1923.56973497 3.21356792498 0.0732501387305
405608.4955 6290422.685 Sill1065 5727.92592544 2.53812763412 0.120276779235
409706.934 6289727.905 Sill1066 7109.25469074 2.69721674827 0.175873813092
402502.271 6291108.9 Sill1067 8516.43158137 4.34620785725 0.360103442783
384886.8565 6295047.205 Sill1068 5088.07311015 2.94078669856 0.181425478544
379171.659 6294299.345 Sill1069 8602.99236414 3.63084911107 0.680228204849
438714.136 6310925.855 Sill107 11757.3342599 5.19832902236 2.09236798246
378759.1515 6297030.205 Sill1070 4052.1075626 3.38555269241 0.77346843849
376782.977 6296550.1 Sill1071 4249.8036239 4.85931397791 1.89111196498
