midpoint_x midpoint_y bathy grav mag name diameter emplacement_depth transgressive_height
-12.6838495709 57.6849740289 1460.15428681 45.8909646373 169.340563323 Sill1000 3271.80959061 1.53801108378 0.985146578466
-12.6892037319 57.7205713143 1424.53881234 43.8557682524 215.19291672 Sill1001 2435.73612297 0.979028298788 0.114623718592
-12.7078463496 57.8494795684 1455.96311739 37.8234588667 NaN Sill1002 5011.80251099 3.20210153317 0.696489936181
-12.750846326 58.1147000101 1696.19422743 34.7418893673 -34.6963371788 Sill1005 2825.46741755 0.767939685062 0.177510597699
-12.7600914668 58.1744797695 1685.64704068 36.0253311277 -145.657578271 Sill1006 1862.37626784 1.39949726622 0.267302302815
-12.7649601668 58.2031408068 1682.49374124 37.4911564588 NaN Sill1007 2124.7140707 0.643474837232 0.307056345112
-12.7233903544 57.9500535688 1583.72482414 33.1897739978 NaN Sill1009 1850.01800755 1.59972675887 0.798000591862
-9.82418441836 56.7648727894 1882.32432582 59.0709367213 -92.8873943034 Sill101 9726.52926229 5.29642188095 0.292476171304
-12.5871293916 57.1201821235 1885.32101659 58.2172085665 NaN Sill1010 850.090658026 1.7150670497 0.238865771472
-12.5698751443 57.0137020122 2022.85388543 54.1853493491 NaN Sill1011 6310.58491308 2.86858101746 0.704826002795
-12.4419836161 57.7878710189 NaN NaN NaN Sill1012 6036.3631524 3.68176891109 0.63849123767
-12.3228640535 57.7434895834 NaN NaN NaN Sill1014 4025.62007377 4.25521632292 0.388370594633
-12.3024496645 57.7358633864 NaN NaN NaN Sill1015 5537.67675213 1.45202445811 0.595391166627
-12.5528168415 58.0674177884 1691.5173836 40.1899833436 NaN Sill1016 3859.8915886 2.50432716184 0.403924875933
-12.8256356603 58.1685421591 1700.1504531 32.9905983074 NaN Sill1018 4012.34281065 4.67377369564 0.361995253258
-11.3699857807 56.6423349758 NaN NaN NaN Sill1019 3835.70598907 3.28507617249 0.312201516085
-9.65999806026 56.8128053389 1828.38097513 65.2795803201 -108.851363332 Sill102 6189.18745355 6.20404906587 0.771785432866
-11.6187933459 56.7455185297 2384.85432329 69.6149376276 -177.06276185 Sill1020 8312.05921951 4.44825997266 0.709005537086
-12.6292070821 57.126235283 1868.09795196 57.1110555719 NaN Sill1021 2651.28796815 3.14686341 0.520452260811
-12.6111957823 57.1195318604 1879.12168208 57.1322477452 NaN Sill1022 2164.43996906 2.02328343754 0.114220342403
-12.4593572597 57.0618669707 1978.79787831 60.5351186135 NaN Sill1023 13648.7566529 5.03477792164 0.854329694902
-11.7907948892 56.8060911684 2298.12340661 68.6492563504 -149.513140718 Sill1024 6752.69294983 1.14999796365 0.221136960429
-11.7408189199 56.7877480693 2327.8308582 68.8019971589 -155.833697894 Sill1025 6134.57078577 3.21167535188 0.730484913032
-11.5523841306 56.7149946151 2422.4428967 70.3347143893 -178.55202536 Sill1026 2363.24065499 5.77576167803 0.147131778769
-11.3236173303 56.625258415 NaN NaN NaN Sill1027 13636.6916643 4.51394648491 0.417228377411
-10.0538491648 56.1139834736 NaN NaN NaN Sill1028 8050.14850061 1.94120482661 0.760781373789
-10.1477886179 56.1526547928 NaN NaN NaN Sill1029 3346.17720006 3.34959272772 0.262426047519
-9.72156062587 56.8386701357 1850.27906442 65.5657328451 -80.3085472154 Sill103 9989.788165 4.7259165732 1.36513255605
-10.0345253219 56.1061538356 NaN NaN NaN Sill1030 6198.93168351 4.77013323535 0.429508984675
-10.482481932 56.2913237535 NaN NaN NaN Sill1031 2945.78272313 0.330824768561 0.0554352428028
-11.7221385735 56.7809810966 2338.15909 68.8790945409 -159.13251306 Sill1032 2805.05670842 1.98950252855 0.444609858141
-11.9109635758 56.8521296417 2249.69480136 67.2646052461 -137.874912239 Sill1033 6279.81791694 5.40861424476 0.852126505297
-12.4506528645 56.919008213 2235.13984217 57.0204705245 -111.287731902 Sill1034 2025.29581589 0.692432380595 0.184891688658
-12.2738896634 56.9045189202 2208.3065077 59.6291980841 -104.42931813 Sill1035 8125.59338937 6.10287220335 0.335753973158
-11.9404282584 56.8793476967 2233.50583841 66.7950438458 -133.095259476 Sill1036 5785.5052144 4.73250568468 1.40846326353
-11.9313360441 56.8787686499 2235.23096876 67.0631494521 -135.887874289 Sill1037 7276.75502617 5.08239142734 1.14499997921
-12.1511053757 56.8947186918 2202.30596458 60.8411680398 -69.0541581474 Sill1038 4549.07107581 4.54546056314 0.486549654369
-12.1890950044 56.897569863 2196.71070554 60.4182191771 -78.4816700515 Sill1039 1924.37275308 3.14238670059 0.122539075107
-12.1742312888 56.8965748041 2198.7257231 60.5256798641 -73.5477602308 Sill1040 8622.73028381 5.24543041038 1.30876489977
-12.1650152105 56.8957887176 2200.08848739 60.6302342945 -71.3534601265 Sill1041 3236.7429559 4.39780381055 0.219693608464
-12.1008348999 56.8909111025 2208.92197938 62.1102595976 -73.9996662369 Sill1042 2237.17473226 5.58385061214 0.728324766914
-12.080109368 56.8893652622 2211.9557957 62.7839619791 -79.8941546676 Sill1043 3187.42333347 4.94931818976 0.228654997765
-12.0307124118 56.8857378628 2219.67378307 64.2844863031 -98.032411571 Sill1044 4488.93710504 3.4072029154 0.322425449022
-12.7369580569 56.9409470539 2087.92313905 40.4185036 -34.6609858721 Sill1045 5088.54971739 4.49833237728 0.869478962015
-12.5288257219 56.9248636913 2233.53823774 53.3538467976 -117.179561784 Sill1046 10836.8198081 5.81953960431 1.42556844482
-12.3828178404 56.9136007926 2239.96313449 58.5539745446 -100.819791048 Sill1047 1625.30430611 3.84681949888 0.241381113719
-12.344277621 56.9103637888 2233.79516265 59.0538014991 -103.560680345 Sill1048 3900.78750423 2.65915429606 0.452239195664
-12.2897196655 56.9057644939 2215.89636933 59.3977610178 -106.542671989 Sill1049 3426.05028937 2.98862395002 0.875135841341
-10.0194913489 56.7527543448 2018.62878472 62.8883031211 -58.9760349063 Sill105 4507.59583925 1.43694604382 0.234080545743
-11.4590890577 56.8398983096 2332.27046264 72.5963788851 -159.521839269 Sill1050 4904.94183661 2.16668748522 0.254922854304
-11.5301229803 56.8462231565 2313.35564918 71.9715207556 -152.565778431 Sill1051 14963.1731698 5.39572233185 0.386624284952
-11.2086283833 56.8155759 2428.51486906 74.1241986123 -193.10807225 Sill1052 4921.6901386 1.7211929901 0.197278880117
-11.2032734512 56.8153539872 2429.61746799 74.1405059322 -193.2732867 Sill1053 21052.9745899 1.77173982991 0.909060585567
-11.6467386891 56.8561877034 2288.81565095 71.3075131306 -144.940153732 Sill1054 5657.05340155 4.33272922087 0.779790474923
-11.6176572169 56.8535484578 2295.18317555 71.6032754349 -147.119683047 Sill1055 3484.21542834 2.53417218839 0.76082977906
-11.6842386746 56.8595067721 2280.70658044 70.8493440156 -144.138739216 Sill1056 5795.6104532 6.19701356582 0.43396479832
-11.5998702609 56.8519692793 2298.81806179 71.762644197 -148.447283426 Sill1057 5158.23428558 7.92242897687 1.09381452468
-11.5144201073 56.8444934012 2317.23285295 72.0582485284 -153.779237476 Sill1058 4326.34457308 4.90839863559 1.65222461986
-11.3318980858 56.828390796 2376.62989977 73.6847325363 -179.860807762 Sill1059 5531.12707682 2.75533431338 0.320056014685
-9.96379317462 56.7890611443 2009.24796356 59.7182210842 -71.7702484401 Sill106 7755.09513318 2.88895584051 0.592882752479
-10.5904970105 56.7527784043 2269.79669036 74.888174969 -6.6697052937 Sill1061 5158.02461697 3.37355670782 0.961436909685
-10.3478669572 56.7141304782 2163.10089561 79.2204966938 -20.1510621597 Sill1062 14661.626764 4.88923976477 0.965714728833
-10.7207611843 56.7681192916 2342.67228765 76.941346984 -104.453847019 Sill1063 9419.16638836 1.45113816455 0.146941787092
-10.7196041637 56.7681651288 2342.26314364 76.9196494575 -103.735339481 Sill1064 1923.56973497 3.21356792498 0.0732501387305
-10.5434902291 56.7482184676 2245.25543038 74.5894352215 7.15164445866 Sill1065 5727.92592544 2.53812763412 0.120276779235
-10.4762535821 56.7427901309 2222.47577774 75.0550124933 5.98590592098 Sill1066 7109.25469074 2.69721674827 0.175873813092
-10.5945223996 56.7537420039 2271.91506079 74.8775315065 -8.69117925776 Sill1067 8516.43158137 4.34620785725 0.360103442783
-10.8842213287 56.7850887718 2408.98891226 76.3375472993 -164.175898347 Sill1068 5088.07311015 2.94078669856 0.181425478544
-10.9773551395 56.7769267522 2416.93384474 75.3641198475 -180.961761907 Sill1069 8602.99236414 3.63084911107 0.680228204849
-10.0072002993 56.9379100065 2028.03495244 61.5221961726 -33.3182741233 Sill107 11757.3342599 5.19832902236 2.09236798246
-10.9853965308 56.8013383572 2424.53439495 75.0060150407 -186.99591266 Sill1070 4052.1075626 3.38555269241 0.77346843849
-11.0175035102 56.7965090132 2427.04067337 75.120387112 -193.439240566 Sill1071 4249.8036239 4.85931397791 1.89111196498
-10.825344291 56.7831721257 2387.44321397 76.9554840235 -155.4352312 Sill1072 10373.9775298 6.01708403054 1.24100108519
-10.7275345327 56.7691297279 2345.36284495 77.0146486414 -109.32407175 Sill1073 2514.23142218 4.12269138927 0.129375183299
-10.5935164658 56.7530014983 2271.24124322 74.9169568676 -8.18966349904 Sill1074 3903.4967081 1.64039591031 0.103749404969
-10.6308812186 56.7573747881 2296.79534634 75.39096721 -31.7439654507 Sill1075 2762.2875655 2.66877278059 0.169732179754
-12.686170659 56.9368699474 2119.37586803 43.4154710261 -73.0077000929 Sill1076 4312.7603817 8.07866750759 1.55837584414
-12.3748055003 56.9129282639 2239.24402217 58.6490102073 -100.869978953 Sill1077 2562.95237027 3.83200297984 1.51381524093
-11.8928707319 56.875972253 2242.86317337 68.1079851214 -147.028813741 Sill1078 6328.07367865 2.98130305316 0.440951927628
-11.7307408645 56.8636193651 2271.30843498 70.3862823251 -146.521779687 Sill1079 2475.53515782 2.93951953052 0.141169173868
-10.1924166527 56.7175464745 2073.32867543 76.6289101425 -62.4232197201 Sill1080 4286.57092224 2.98052833503 0.602260445175
-10.2306827816 56.7216869888 2084.76574388 77.2381219573 -66.4670940563 Sill1081 2566.59611986 2.00831520618 0.175294072322
-10.1151399245 56.7090736448 2045.27657233 73.7930535148 -51.2258338551 Sill1082 4407.95561495 1.35792297466 0.391232463938
-10.0900368356 56.7064645519 2036.07989779 72.5837806865 -50.1463548223 Sill1083 4501.14921198 2.96103436432 0.759621576529
-9.82723108532 56.6888905085 1844.18380334 65.7642669488 -87.6533982998 Sill1084 5434.77167393 3.86747563523 0.826676784199
-10.2553972473 56.7242448976 2097.97086231 77.193587982 -60.708550982 Sill1085 3090.16835983 1.29143896549 0.209622350556
-10.1855919642 56.7168059778 2071.54910502 76.4344732396 -60.7329469677 Sill1086 3434.95950286 0.51462881636 0.374403135058
-10.0423117006 56.7018401447 2023.16165654 69.7985851028 -46.0392166777 Sill1087 3731.19271455 1.39155973941 0.349810351086
-10.1511671456 56.7130731992 2060.62609467 75.2054038723 -52.9522920262 Sill1088 9033.202425 1.33107752252 0.287442301852
-10.3507620302 56.7335022046 2164.99349056 76.5130688676 -26.5864059726 Sill1089 2708.89446739 1.25449207648 0.616859992604
-9.87932581615 56.9710681925 1986.33781208 64.7589090127 -54.8323622852 Sill109 9213.7452716 4.29395213189 0.349917115015
-10.3571115967 56.7340607838 2167.93988898 76.415032951 -24.572517837 Sill1090 1722.5149857 0.900526723081 0.44271729273
-12.8908437714 56.9529611205 2015.86497336 34.4118998728 -7.21994061372 Sill1091 2036.91531233 1.72864721548 0.149351088736
-9.60639576366 56.6605866927 1536.67017132 80.7057360565 27.3920914771 Sill1092 4323.02654835 4.96553752034 1.90245682841
-12.9454893502 56.7540858149 2301.15854803 36.8252755142 3.56740827644 Sill1094 4990.21552735 3.80598819025 1.10641416043
-12.6327685481 56.8922588788 2241.64533676 48.6058868532 -79.7003716671 Sill1095 5273.67999989 6.17924797305 1.53331503406
-12.3546431112 57.0161185717 2152.44633009 61.538658964 -96.6055013457 Sill1096 7655.96777877 5.46471171085 0.631019441656
-10.7406291007 57.8623588671 2098.94865807 56.6534577968 -25.1503946215 Sill1099 7753.32367102 1.85504416092 0.40818278475
-12.0695436888 56.6056156628 2462.1532657 62.8283951428 -96.2782662271 Sill1100 9138.60577035 8.15064739535 1.00531974107
-11.9268055145 56.6539575459 2448.77824354 64.4117774036 -126.254652779 Sill1101 4900.91523294 5.3471896288 0.974629977488
-11.7237097013 56.7219176393 2400.17969106 67.5591095595 -161.908123198 Sill1102 9947.6867036 5.55660462237 0.24010642
-11.6299939697 56.2805664324 NaN NaN NaN Sill1103 8807.71375029 6.42962883863 1.47841526389
-11.7621666569 56.1719836638 NaN NaN NaN Sill1104 6805.9679448 4.80162585623 1.78307813732
-11.8264131839 56.1195146524 NaN NaN NaN Sill1105 6621.7822089 3.65767695954 0.348765065284
-11.3068154554 56.5413792902 NaN NaN NaN Sill1106 7734.58520001 2.26810954096 0.295139448781
-11.1147779067 56.6922505041 NaN NaN NaN Sill1107 6741.37075344 2.76890912714 0.375696290656
-9.80666691022 56.5985428778 1712.5343654 83.1356335103 -30.519920126 Sill1108 4237.57768175 1.35040257872 0.334405772768
-9.88485944799 56.301087683 NaN NaN NaN Sill1109 16701.5444262 1.91141378774 0.553635757797
-9.79980413553 56.1778948316 NaN NaN NaN Sill1110 6444.02481761 2.5610765278 0.521889622688
-9.79812896549 56.0450006436 NaN NaN NaN Sill1111 11307.2339741 2.96218900563 1.23876614636
-9.80139630236 56.2250381668 NaN NaN NaN Sill1112 4822.63328172 1.37359442692 0.705101825755
-9.78449605913 56.145543171 NaN NaN NaN Sill1113 4881.80131821 3.03507992954 0.221091600431
-9.81093287083 56.8658916578 1927.57841237 64.4357792483 -50.8121123011 Sill1114 3098.33901631 4.8085674944 0.29298650383
-9.77278218284 56.7456171007 1816.41888789 61.3675548862 -93.6474513166 Sill1115 16488.3216233 4.83245460995 0.398040160101
-9.82404294761 57.4842831003 1605.4576464 43.2816111583 105.58848911 Sill1116 5377.33136881 1.12253922277 0.495482258675
-9.82871102627 57.3777885555 1808.01605618 51.6903197403 -72.1605106327 Sill1117 9473.96636439 1.28738895933 0.390208106855
-9.82400572484 57.4977515012 1584.66628826 42.3041180672 128.87105173 Sill1118 3907.84939183 0.943436651229 0.211798882918
-9.82496096224 57.6861687301 1404.09591414 36.6876494746 146.054142727 Sill1119 4161.20611001 1.18528034075 0.231934666202
-9.83062017348 57.9819882956 1582.36414958 40.5619569971 56.2498964633 Sill1120 2941.11808619 0.990657636123 0.319915412455
-9.81804411572 58.0919311991 1810.1320104 38.5644422005 125.177338604 Sill1121 5274.87927303 1.24308294623 0.623120670564
-9.79845487688 56.0936447914 NaN NaN NaN Sill1122 5568.133112 3.0582111078 0.525073831115
-9.78008113445 56.1189498958 NaN NaN NaN Sill1123 6351.75687207 2.493373871 0.634714670303
-9.79859236221 56.1058793999 NaN NaN NaN Sill1124 6630.97862709 3.76314514603 0.583783002335
-9.80833155214 56.6846972139 1813.37013411 66.8839830245 -82.9373272789 Sill1125 9083.91223763 1.93695677125 0.238794363947
